asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:21:17,538	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1830
2018-03-12 16:21:17,539	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1830 0.000800
2018-03-12 16:21:17,540	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 26 00 00 A0 00 
2018-03-12 16:21:17,550	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1831
2018-03-12 16:21:17,550	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1831 0.000800
2018-03-12 16:21:17,551	control24d	DEBUG	thread_listener	_receive_handler	584	MP recv: c:1 s:5 d:b0 05 00 25 00
2018-03-12 16:21:17,551	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 27 00 00 A0 00 
2018-03-12 16:21:17,552	control24d	DEBUG	thread_listener	_receive_handler	594	TODESK CMD 5
2018-03-12 16:21:17,552	control24d	DEBUG	thread_listener	_send_packet	610	Sending Packet of 35 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 15 00 00 00 00 00 05 00 00 00 00 00 00 00 01 B0 05 00 25 00 
2018-03-12 16:21:17,553	control24d	DEBUG	thread_listener	_receive_handler	584	MP recv: c:1 s:5 d:b0 06 00 26 00
2018-03-12 16:21:17,561	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:21:17,562	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1833
2018-03-12 16:21:17,562	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1833 0.000800
2018-03-12 16:21:17,563	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 29 00 00 A0 00 
2018-03-12 16:21:17,568	control24d	DEBUG	thread_listener	_receive_handler	594	TODESK CMD 6
2018-03-12 16:21:17,568	control24d	DEBUG	thread_listener	_send_packet	610	Sending Packet of 35 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 15 00 00 00 00 00 06 00 00 00 00 00 00 00 01 B0 06 00 26 00 
2018-03-12 16:21:17,573	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:21:17,674	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1834
2018-03-12 16:21:17,674	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1834 0.000800
2018-03-12 16:21:17,675	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 2A 00 00 A0 00 
2018-03-12 16:21:17,675	control24d	DEBUG	thread_listener	_receive_handler	584	MP recv: c:1 s:5 d:b0 06 00 26 00
2018-03-12 16:21:17,675	control24d	WARNING	thread_pcap_loop	_packet_handler	544	Retry packets from desk: 1
2018-03-12 16:21:17,676	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1834
2018-03-12 16:21:17,676	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1834 0.000800
2018-03-12 16:21:17,677	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 2A 00 00 A0 00 
2018-03-12 16:21:17,687	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1835
2018-03-12 16:21:17,687	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1835 0.000800
2018-03-12 16:21:17,688	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 2B 00 00 A0 00 
2018-03-12 16:21:17,719	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1838
2018-03-12 16:21:17,719	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1838 0.000800
2018-03-12 16:21:17,720	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 2E 00 00 A0 00 
2018-03-12 16:21:17,730	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1839
2018-03-12 16:21:17,730	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1839 0.000800
2018-03-12 16:21:17,731	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 2F 00 00 A0 00 
2018-03-12 16:21:17,743	control24d	WARNING	thread_listener	_receive_handler	590	Waiting for DESK ACK 0
2018-03-12 16:21:17,810	control24d	WARNING	thread_listener	_receive_handler	590	Waiting for DESK ACK 0
2018-03-12 16:21:17,822	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1840
2018-03-12 16:21:17,822	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1840 0.000800
2018-03-12 16:21:17,823	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 30 00 00 A0 00 
2018-03-12 16:21:17,853	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1841
2018-03-12 16:21:17,854	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1841 0.000800
2018-03-12 16:21:17,855	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 31 00 00 A0 00 
2018-03-12 16:21:17,877	control24d	WARNING	thread_listener	_receive_handler	590	Waiting for DESK ACK 0
2018-03-12 16:21:17,885	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1842
2018-03-12 16:21:17,885	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1842 0.000800
2018-03-12 16:21:17,886	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 32 00 00 A0 00 
2018-03-12 16:21:17,937	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1843
2018-03-12 16:21:17,937	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1843 0.000800
2018-03-12 16:21:17,938	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 33 00 00 A0 00 
2018-03-12 16:21:17,944	control24d	WARNING	thread_listener	_receive_handler	590	Waiting for DESK ACK 0
2018-03-12 16:21:17,968	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1844
2018-03-12 16:21:17,968	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1844 0.000800
2018-03-12 16:21:17,969	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 34 00 00 A0 00 
2018-03-12 16:21:17,976	control24d	DEBUG	Thread-2	_backoff	668	backoff complete
2018-03-12 16:21:18,008	control24d	DEBUG	thread_listener	_receive_handler	594	TODESK CMD 7
2018-03-12 16:21:18,008	control24d	DEBUG	thread_listener	_send_packet	610	Sending Packet of 35 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 15 00 00 00 00 00 07 00 00 00 00 00 00 00 01 B0 06 00 26 00 
2018-03-12 16:21:18,008	control24d	DEBUG	thread_listener	_receive_handler	584	MP recv: c:3 s:15 d:b0 06 00 26 00 b0 05 00 25 00 b0 05 00 25 00
2018-03-12 16:21:18,010	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:21:18,011	control24d	DEBUG	thread_listener	_receive_handler	594	TODESK CMD 10
2018-03-12 16:21:18,012	control24d	DEBUG	thread_listener	_send_packet	610	Sending Packet of 45 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 1F 00 00 00 00 00 0A 00 00 00 00 00 00 00 03 B0 06 00 26 00 B0 05 00 25 00 B0 05 00 25 00 
2018-03-12 16:21:18,020	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:21:18,030	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1845
2018-03-12 16:21:18,030	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1845 0.000800
2018-03-12 16:21:18,031	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 35 00 00 A0 00 
2018-03-12 16:21:18,052	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1846
2018-03-12 16:21:18,052	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1846 0.000800
2018-03-12 16:21:18,053	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 36 00 00 A0 00 
2018-03-12 16:21:18,083	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1847
2018-03-12 16:21:18,083	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1847 0.000800
2018-03-12 16:21:18,084	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 37 00 00 A0 00 
2018-03-12 16:21:18,115	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1848
2018-03-12 16:21:18,115	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1848 0.000800
2018-03-12 16:21:18,116	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 38 00 00 A0 00 
2018-03-12 16:21:18,146	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1849
2018-03-12 16:21:18,147	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1849 0.000800
2018-03-12 16:21:18,148	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 39 00 00 A0 00 
2018-03-12 16:21:18,178	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1850
2018-03-12 16:21:18,178	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1850 0.000800
2018-03-12 16:21:18,179	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 3A 00 00 A0 00 
2018-03-12 16:21:18,209	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1851
2018-03-12 16:21:18,210	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1851 0.000800
2018-03-12 16:21:18,211	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 3B 00 00 A0 00 
2018-03-12 16:21:18,241	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1852
2018-03-12 16:21:18,241	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1852 0.000800
2018-03-12 16:21:18,242	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 3C 00 00 A0 00 
2018-03-12 16:21:18,263	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1853
2018-03-12 16:21:18,263	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1853 0.000800
2018-03-12 16:21:18,264	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 3D 00 00 A0 00 
2018-03-12 16:21:18,295	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1854
2018-03-12 16:21:18,295	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1854 0.000800
2018-03-12 16:21:18,296	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 3E 00 00 A0 00 
2018-03-12 16:21:18,327	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1855
2018-03-12 16:21:18,327	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1855 0.000800
2018-03-12 16:21:18,328	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 3F 00 00 A0 00 
2018-03-12 16:21:18,358	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1856
2018-03-12 16:21:18,358	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1856 0.000800
2018-03-12 16:21:18,359	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 40 00 00 A0 00 
