asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:22:08,029	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -6.3
2018-03-12 16:22:08,029	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d362e33f700
2018-03-12 16:22:08,036	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b0004d200000000000000000000000000000000000000000000000000000
2018-03-12 16:22:08,037	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
2018-03-12 16:22:08,037	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'M', ' ', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:08,037	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.6015625]
2018-03-12 16:22:08,037	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:08,057	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-5.55dB']
2018-03-12 16:22:08,057	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -5.5
2018-03-12 16:22:08,057	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d352e35f700
2018-03-12 16:22:08,068	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b0004e2060ff000000000000000000000000000000000000000000000000
2018-03-12 16:22:08,068	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 2
2018-03-12 16:22:08,068	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'N', ' ', '`'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:08,069	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.615234375]
2018-03-12 16:22:08,069	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'cmdbytes': ['\xff', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/automation_LED_CounterMode_LED/UnknownNullFoundAfterFader', 'addresses': ['/', 'automation_LED_CounterMode_LED', '/', 'UnknownNullFoundAfterFader'], 'lkpbytes': [255, 0], 'ChildByte': 1}
2018-03-12 16:22:08,069	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:08,091	control24osc	DEBUG	thread_osc_listener	_daw_to_desk	1260	OSC Listener received Message: ('192.168.0.10', 52052) /track/c24scribstrip/volume/1 [s] ['-4.86dB']
2018-03-12 16:22:08,091	control24osc	DEBUG	thread_osc_listener	set_current_display	624	c24scribstrip mode state: /track/c24scribstrip/volume = -4.8
2018-03-12 16:22:08,092	control24osc	DEBUG	thread_osc_listener	c24_client_send	1413	MP send: f013014000002d342e38f700
2018-03-12 16:22:08,100	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	900941000000000000000000000000000000000000000000000000000000
2018-03-12 16:22:08,100	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
